epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,371.838,0.70976,2.74872,0.22518,0.33995,0.01206,2.23464,0.97595,0.97735,0.99093,0.87621,0.9179,0.88938,0.8947,0.74083,0.5698,1.3578,0.04922,0.21243,0.01239,0,0.0099913,0.00333043,0.0099913,0.00333043,0.0099913,0.00333043,0.0099913,0.00333043
2,687.425,0.7387,2.12513,0.21564,0.34916,0.0126,0.78294,0.974,0.97515,0.99081,0.85922,0.91633,0.88148,0.89375,0.73636,0.62098,1.39386,0.05027,0.22742,0.01401,0,0.0195955,0.00653183,0.0195955,0.00653183,0.0195955,0.00653183,0.0195955,0.00653183
3,981.367,0.77142,2.23628,0.21286,0.37371,0.01324,0.96253,0.97082,0.97091,0.98993,0.8494,0.90568,0.86836,0.87905,0.70368,0.64046,1.54658,0.06454,0.24435,0.01435,0,0.0288036,0.00960122,0.0288036,0.00960122,0.0288036,0.00960122,0.0288036,0.00960122
4,1268.53,0.82379,2.45474,0.21756,0.41108,0.0143,1.30954,0.96921,0.96457,0.98899,0.83286,0.89964,0.86186,0.86832,0.69905,0.68693,1.58418,0.05943,0.25628,0.01565,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1554.85,0.82546,2.44423,0.21669,0.4055,0.01424,1.26987,0.97087,0.96827,0.98938,0.84784,0.89683,0.86211,0.87739,0.70035,0.6571,1.56747,0.06029,0.24776,0.01464,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1842.56,0.82738,2.4341,0.21257,0.41406,0.01425,1.23068,0.96818,0.96923,0.98919,0.85136,0.90628,0.86874,0.88082,0.70381,0.64381,1.53977,0.05386,0.24872,0.01416,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,2129.77,0.82773,2.42541,0.21131,0.40386,0.01433,1.21107,0.96396,0.96546,0.98898,0.83863,0.89379,0.84826,0.86675,0.69479,0.66561,1.57529,0.05778,0.25749,0.015,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,2416.88,0.82029,2.39429,0.20924,0.40194,0.01421,1.18809,0.96799,0.96725,0.98864,0.85502,0.90193,0.8708,0.8803,0.7152,0.63322,1.51071,0.05828,0.25555,0.01423,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,2705.03,0.82234,2.40577,0.20893,0.401,0.01424,1.21784,0.96157,0.96937,0.98881,0.85028,0.89316,0.86594,0.87858,0.71504,0.64749,1.55151,0.05451,0.25056,0.01445,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,2992.38,0.81441,2.36932,0.20847,0.40496,0.01402,1.11551,0.96716,0.96852,0.98906,0.84819,0.90883,0.87272,0.88718,0.71277,0.64393,1.49602,0.05948,0.24466,0.01421,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,3280.51,0.80953,2.33481,0.20553,0.39433,0.01388,1.06714,0.96834,0.96878,0.98936,0.85103,0.89418,0.88327,0.888,0.71762,0.63305,1.46298,0.05917,0.24249,0.01419,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,3568.18,0.80696,2.29636,0.20493,0.38965,0.0139,1.02453,0.97048,0.97196,0.99006,0.85518,0.91068,0.87613,0.89081,0.72677,0.63064,1.44356,0.05712,0.23569,0.01402,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,3855.83,0.80334,2.30704,0.2058,0.39284,0.01379,1.03121,0.97024,0.96942,0.99033,0.86005,0.91688,0.87766,0.89257,0.73238,0.62144,1.42922,0.05793,0.23456,0.01363,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,4143.59,0.80303,2.29203,0.20099,0.38481,0.01377,0.99354,0.97032,0.97145,0.99007,0.8613,0.91068,0.8926,0.8994,0.73426,0.61033,1.3803,0.0558,0.23225,0.01329,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,4431.81,0.80634,2.29117,0.2053,0.38886,0.01386,1.00348,0.97005,0.97388,0.98985,0.85722,0.91463,0.88472,0.89689,0.73173,0.625,1.39482,0.05619,0.23386,0.01391,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,4719.49,0.78729,2.21854,0.20134,0.3763,0.01338,0.87773,0.97772,0.97273,0.9905,0.86666,0.91005,0.88958,0.89782,0.74107,0.59438,1.35531,0.0558,0.22145,0.01291,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,5006.84,0.79103,2.22583,0.20101,0.38628,0.01354,0.9049,0.97406,0.97591,0.99094,0.86569,0.91684,0.8848,0.90176,0.74476,0.59843,1.34865,0.05586,0.22163,0.01322,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,5295.28,0.79326,2.23246,0.20028,0.38488,0.01348,0.88348,0.97465,0.97362,0.99033,0.86821,0.92005,0.8969,0.90412,0.75021,0.59225,1.32722,0.05351,0.22574,0.01297,0,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,5583.43,0.78037,2.18237,0.19998,0.37147,0.01332,0.83699,0.97643,0.97693,0.99121,0.86891,0.92528,0.89633,0.90558,0.75329,0.59011,1.30277,0.05518,0.21821,0.01311,0,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,5869.68,0.78346,2.17194,0.19887,0.37352,0.01337,0.8285,0.97753,0.97388,0.99075,0.87534,0.92525,0.89435,0.90477,0.75252,0.56726,1.29027,0.0531,0.21462,0.01227,0,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,6156.88,0.78023,2.15506,0.19592,0.37177,0.01335,0.77953,0.97303,0.97298,0.99065,0.872,0.92704,0.89588,0.90968,0.75301,0.57425,1.28653,0.05555,0.21612,0.01256,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,6444.93,0.77481,2.13957,0.19547,0.36739,0.0132,0.79211,0.97688,0.97464,0.99093,0.8768,0.92043,0.90391,0.91237,0.7586,0.5668,1.26659,0.05367,0.2073,0.01231,0,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,6732.59,0.76595,2.1115,0.19256,0.35965,0.013,0.71916,0.97466,0.97527,0.99061,0.87721,0.92923,0.89861,0.91408,0.7622,0.56666,1.2519,0.05247,0.21194,0.01232,0,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,7020.87,0.76609,2.10636,0.19467,0.36478,0.01297,0.71047,0.97774,0.97398,0.99147,0.88027,0.92046,0.90238,0.91236,0.76247,0.55498,1.24701,0.0514,0.2097,0.01199,0,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,7309.39,0.76143,2.11711,0.19126,0.36088,0.01288,0.72903,0.97382,0.97638,0.99108,0.87891,0.93372,0.89754,0.91515,0.76842,0.56415,1.23198,0.05179,0.20799,0.0123,0,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,7596.5,0.75428,2.07315,0.19055,0.35704,0.01275,0.66674,0.97979,0.97591,0.99137,0.88125,0.9297,0.90098,0.91487,0.76815,0.54991,1.22501,0.05086,0.20253,0.01187,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,7885.12,0.74901,2.04792,0.18703,0.34711,0.01271,0.64993,0.97763,0.97591,0.99114,0.8812,0.92963,0.90406,0.91531,0.77109,0.54667,1.2098,0.05029,0.20162,0.01174,0,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,8173.41,0.74613,2.04417,0.18855,0.3574,0.01259,0.66644,0.97957,0.97209,0.9912,0.88054,0.92458,0.90799,0.91525,0.77136,0.54594,1.20467,0.05024,0.20258,0.01175,0,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,8461.1,0.74118,2.0113,0.18617,0.34638,0.01248,0.59254,0.97356,0.98139,0.99188,0.88719,0.93083,0.90468,0.91585,0.77369,0.53377,1.18969,0.04882,0.19453,0.01142,0,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,8749.62,0.73973,2.0015,0.18456,0.34968,0.01244,0.59011,0.97535,0.97464,0.99145,0.8858,0.92424,0.90791,0.91519,0.77286,0.53705,1.19328,0.04677,0.19772,0.01154,0,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,9037.39,0.737,1.99464,0.18491,0.35274,0.01237,0.59295,0.97704,0.97655,0.99146,0.88585,0.93041,0.90175,0.9154,0.77462,0.53475,1.1913,0.04692,0.19674,0.01146,0,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,9325.09,0.73248,1.97311,0.18262,0.34368,0.0123,0.54901,0.9786,0.97886,0.99189,0.88722,0.9282,0.90952,0.91634,0.77966,0.5302,1.17086,0.04558,0.19428,0.01135,0,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,9613.9,0.72393,1.92979,0.179,0.3358,0.01209,0.51245,0.97989,0.97719,0.99183,0.88808,0.9324,0.90825,0.91654,0.77845,0.52906,1.16757,0.04597,0.19294,0.01136,0,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,9901.72,0.71347,1.88575,0.17867,0.33036,0.01201,0.48095,0.9794,0.9777,0.99114,0.88965,0.92907,0.90806,0.91567,0.77995,0.52102,1.15492,0.04522,0.19265,0.01114,0,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,10189.5,0.70632,1.87169,0.17573,0.32715,0.01186,0.49636,0.97783,0.97936,0.99171,0.88946,0.93515,0.9057,0.92209,0.78203,0.51671,1.14389,0.04419,0.19329,0.01105,0,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,10475.1,0.70706,1.8618,0.17516,0.33352,0.01176,0.39124,0.97989,0.97859,0.99187,0.89058,0.93852,0.90735,0.91687,0.78469,0.515,1.1378,0.0437,0.19046,0.01105,0,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,10760.7,0.70243,1.8609,0.17395,0.33173,0.01168,0.38855,0.98042,0.97808,0.99207,0.89153,0.93057,0.91538,0.92266,0.78587,0.51431,1.13358,0.04325,0.1884,0.011,0,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,11047.6,0.70281,1.84768,0.17388,0.33086,0.01177,0.39952,0.97776,0.98064,0.99175,0.89243,0.92732,0.91653,0.92338,0.78643,0.51332,1.13105,0.04303,0.18813,0.011,0,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,11334,0.69559,1.80781,0.1686,0.32589,0.01155,0.33917,0.97976,0.98012,0.99176,0.89272,0.93269,0.91301,0.9246,0.78733,0.51169,1.12345,0.04216,0.18845,0.01094,0,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,11621,0.68835,1.78057,0.16929,0.31658,0.01148,0.31272,0.97744,0.98271,0.99197,0.8936,0.93146,0.9162,0.92557,0.78879,0.5099,1.12331,0.04141,0.1864,0.01089,0,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,11908.3,0.53118,1.09572,0.06756,0.1916,0.01194,0.5082,0.9791,0.97999,0.9918,0.89461,0.93419,0.91169,0.92522,0.79054,0.5048,1.11865,0.03682,0.18705,0.01076,0,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,12195.1,0.51583,1.06241,0.06364,0.18844,0.01151,0.44586,0.98061,0.97951,0.99218,0.89586,0.93968,0.90939,0.92633,0.79299,0.50092,1.11335,0.03428,0.18523,0.01065,0,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,12483.1,0.5038,1.03568,0.06038,0.18023,0.0112,0.38853,0.98113,0.9804,0.99228,0.89681,0.93676,0.91156,0.92637,0.79473,0.4973,1.10707,0.03209,0.1833,0.01054,0,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,12771.4,0.49378,1.00559,0.05871,0.17709,0.01087,0.35432,0.97825,0.9802,0.9922,0.89754,0.93514,0.91309,0.92613,0.79452,0.49388,1.09901,0.03072,0.18167,0.01045,0,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,13059.4,0.48446,0.98874,0.05784,0.17482,0.01064,0.32242,0.98028,0.97897,0.99198,0.89805,0.93587,0.91513,0.92669,0.79505,0.48982,1.09462,0.02965,0.18122,0.01035,0,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,13347.7,0.47583,0.9601,0.05657,0.17186,0.01038,0.29654,0.9796,0.97933,0.992,0.89948,0.93303,0.91602,0.92656,0.79615,0.48697,1.09111,0.02898,0.1839,0.01028,0,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,13636.6,0.46832,0.94851,0.05497,0.1634,0.01024,0.27666,0.98014,0.98128,0.99245,0.89987,0.93436,0.91604,0.92704,0.79636,0.48677,1.09148,0.02812,0.18052,0.01026,0,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,13925.5,0.46039,0.92658,0.05422,0.15813,0.01005,0.24476,0.98233,0.97961,0.99244,0.89954,0.93575,0.91462,0.92693,0.79657,0.48581,1.09124,0.02745,0.17925,0.01023,0,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,14215.9,0.45455,0.90452,0.05369,0.15902,0.0099,0.2069,0.9816,0.97879,0.9923,0.90042,0.93662,0.91627,0.92729,0.79708,0.48473,1.09,0.02674,0.17869,0.0102,0,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,14503.7,0.44648,0.88123,0.05215,0.15428,0.00962,0.17536,0.98241,0.97681,0.99211,0.89929,0.93573,0.91653,0.92712,0.79678,0.48421,1.08872,0.0262,0.18002,0.01018,0,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
